,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
105,Vladislav Kamenev\kamenvl01,LW,COL,,CBJ,W,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,0,,11,8:05,2,0,4,1,80.0
106,Travis Konecny\konectr01,C,PHI,@,TOR,W,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,24,17:16,2,0,1,3,25.0
107,Artturi Lehkonen\lehkoar01,LW,MTL,,LAK,W,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,22,12:26,3,0,1,0,100.0
108,Jared McCann\mccanja01,C,PIT,,CHI,W,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,0,,25,17:20,1,0,1,4,20.0
109,Brandon Montour\montobr01,D,BUF,@,TBL,L,boxscore,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,23,17:34,1,1,0,0,
110,Jordan Oesterle\oestejo01,D,ARI,,MIN,L,boxscore,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,27,22:24,0,0,0,0,
111,Brandon Saad\saadbr01,LW,CHI,@,PIT,L-SO,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,26,19:53,2,0,0,0,
112,Nick Schmaltz\schmani01,C,ARI,,MIN,L,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,23,18:22,0,0,3,1,75.0
113,Steven Stamkos\stamkst01,C,TBL,,BUF,W,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,6,0.0,21,15:15,2,0,10,3,76.9
114,Tomas Tatar\tatarto01,C,MTL,,LAK,W,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,22,13:55,1,0,0,1,0.0
115,Marc-Edouard Vlasic\vlasima01,D,SJS,,NSH,W,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,0,,29,22:09,1,2,0,0,
116,Keith Yandle\yandlke01,D,FLA,@,NYI,L,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,16,21:59,0,1,0,0,
117,Jason Zucker\zuckeja01,LW,MIN,@,ARI,W,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,22,17:59,0,1,0,0,
118,Cody Eakin\eakinco01,C,VEG,@,WSH,L,boxscore,0,1,1,-1,4,0,0,0,0,0,1,0,1,0.0,19,13:20,0,0,6,5,54.5
119,Oliver Ekman-Larsson\ekmanol01,D,ARI,,MIN,L,boxscore,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,27,24:17,2,1,0,0,
120,Joel Farabee\farabjo01,LW,PHI,@,TOR,W,boxscore,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,23,16:41,0,0,0,1,0.0
121,Alex Iafallo\iafalal01,C,LAK,@,MTL,L,boxscore,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,18,11:55,0,0,0,0,
122,Seth Jones\jonesse01,D,CBJ,@,COL,L,boxscore,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,29,26:39,1,2,0,0,
123,Slater Koekkoek\koekksl01,D,CHI,@,PIT,L-SO,boxscore,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,22,14:38,2,0,0,0,
124,Rasmus Ristolainen\ristora01,D,BUF,@,TBL,L,boxscore,0,1,1,-1,2,0,0,0,0,1,0,0,5,0.0,27,23:59,3,1,0,0,
125,Teuvo Teravainen\teravte01,F,CAR,@,OTT,L,boxscore,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,22,17:04,0,1,1,1,50.0
126,James van Riemsdyk\vanrija01,LW,PHI,@,TOR,W,boxscore,0,1,1,-1,0,0,0,0,0,1,0,0,0,,23,15:00,0,0,1,0,100.0
127,Dougie Hamilton\hamildo01,D,CAR,@,OTT,L,boxscore,0,1,1,-2,0,0,0,0,0,0,1,0,6,0.0,28,23:26,2,0,0,0,
128,Nikita Kucherov\kucheni01,RW,TBL,,BUF,W,boxscore,0,1,1,-2,2,0,0,0,0,0,1,0,0,,22,15:48,1,0,0,0,
129,Jonathan Marchessault\audymjo01,C,VEG,@,WSH,L,boxscore,0,1,1,-2,2,0,0,0,0,0,1,0,2,0.0,19,17:18,1,0,0,1,0.0
130,Gustav Nyquist\nyquigu01,RW,CBJ,@,COL,L,boxscore,0,1,1,-2,0,0,0,0,0,0,1,0,3,0.0,23,19:41,0,0,1,0,100.0
131,Mark Borowiecki\borowma01,D,OTT,,CAR,W,boxscore,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,25,16:44,6,3,0,0,
132,Dylan DeMelo\demeldy01,D,OTT,,CAR,W,boxscore,0,0,0,3,2,0,0,0,0,0,0,0,2,0.0,29,19:42,2,0,0,0,
133,J.T. Compher\comphj.01,LW,COL,,CBJ,W,boxscore,0,0,0,2,0,0,0,0,0,0,0,0,4,0.0,23,18:02,1,2,6,2,75.0
134,Valeri Nichushkin\nichuva01,RW,COL,,CBJ,W,boxscore,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,20,14:42,0,1,0,0,
135,Brad Richardson\richabr02,C,ARI,,MIN,L,boxscore,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,15,10:55,4,0,5,5,50.0
136,Viktor Arvidsson\arvidvi01,LW,NSH,@,SJS,L-SO,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,26,20:51,0,0,0,0,
137,Mark Barberio\barbema01,D,COL,,CBJ,W,boxscore,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,19,13:47,0,0,0,0,
138,Anthony Beauvillier\beauvan01,LW,NYI,,FLA,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,25,19:33,0,0,0,0,
139,Pierre-Edouard Bellemare\bellepi01,LW,COL,,CBJ,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,10,8:16,0,0,2,4,33.3
140,Jay Bouwmeester\bouwmja01,D,STL,@,CGY,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,29,22:22,0,3,0,0,
