,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
51,Markus Granlund\granlma01,C,EDM,,NJD,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,11:47,0,0,0,0,
52,Tyler Johnson\johnsty01,C,TBL,@,BUF,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,15:44,1,0,1,1,50.0
53,Zack Kassian\kassiza01,RW,EDM,,NJD,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,15:55,0,0,0,0,
54,Patrik Laine\lainepa01,RW,WPG,,VAN,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,21,17:37,1,0,0,0,
55,Patrick Russell\russepa01,RW,EDM,,NJD,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,16,10:40,1,1,0,0,
56,Justin Abdelkader\abdelju01,LW,DET,,BOS,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:09,4,1,1,1,50.0
57,Josh Archibald\archijo01,RW,EDM,,NJD,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:12,2,0,0,0,
58,Sven Baertschi\baertsv01,LW,VAN,@,WPG,L,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,21,13:13,2,0,0,0,
59,Jay Beagle\beaglja01,RW/C,VAN,@,WPG,L,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,13:13,1,0,4,5,44.4
60,Ethan Bear\bearet01,D,EDM,,NJD,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,27,20:01,0,1,0,0,
61,Nathan Beaulieu\beaulna01,D,WPG,,VAN,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,18:26,0,1,0,0,
