,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS?,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
398,Patrik Nemeth\nemetpa01,27,DET,D,17,1,3,4,-1,8,0.8,1,0,0,1,3,0,0,30,3.3,358,21:05,23,11,0,0,
399,Tomas Nosek\nosekto01,27,VEG,C,16,3,1,4,0,6,0.5,2,0,1,0,1,0,0,28,10.7,180,11:15,10,13,63,47,57.3
400,Jamie Oleksiak\oleksja01,27,DAL,D,17,0,4,4,0,11,0.8,0,0,0,0,4,0,0,16,0.0,235,13:49,15,18,0,0,
401,Corey Perry\perryco01,34,DAL,RW,10,2,2,4,-1,4,0.4,2,0,0,0,1,1,0,12,16.7,140,14:00,5,9,1,0,100.0
402,Brett Pesce\pescebr01,25,CAR,D,16,2,2,4,-1,8,0.8,2,0,0,0,2,0,0,34,5.9,344,21:30,22,4,0,0,
403,Bobby Ryan\ryanbo01,32,OTT,LW,12,1,3,4,0,6,0.2,1,0,0,0,3,0,0,16,6.3,151,12:34,2,14,2,0,100.0
404,Marco Scandella\scandma01,29,BUF,D,11,2,2,4,8,2,1.5,2,0,0,0,2,0,0,14,14.3,186,16:57,12,7,0,0,
405,Colton Sceviour\scevico01,30,FLA,C,15,1,3,4,-2,2,0.0,1,0,0,0,3,0,0,23,4.3,214,14:15,11,8,3,5,37.5
406,Tim Schaller\schalti01,29,VAN,LW,16,4,0,4,1,8,0.5,3,0,1,0,0,0,0,24,16.7,194,12:07,9,9,2,1,66.7
407,Conor Sheary\shearco01,27,BUF,LW,11,3,1,4,2,2,0.6,2,1,0,1,0,1,0,17,17.6,137,12:25,4,6,0,0,
408,Brendan Smith\smithbr05,30,NYR,D,14,1,3,4,-3,13,0.4,0,0,1,0,2,0,1,14,7.1,163,11:39,8,19,0,0,
409,Jason Spezza\spezzja01,36,TOR,C,9,1,3,4,0,8,0.3,1,0,0,0,3,0,0,16,6.3,100,11:06,3,2,29,33,46.8
410,Oskar Sundqvist\sundqos01,25,STL,C,17,3,1,4,-2,10,0.2,3,0,0,0,1,0,0,19,15.8,237,13:56,8,21,38,37,50.7
411,Chris Tanev\tanevch01,30,VAN,D,16,1,3,4,6,4,1.2,1,0,0,0,2,0,1,13,7.7,311,19:28,40,6,0,0,
412,Troy Terry\terrytr01,22,ANA,C,17,2,2,4,-6,2,0.0,2,0,0,0,2,0,0,22,9.1,228,13:24,2,0,1,5,16.7
413,Robert Thomas\thomaro01,20,STL,C,12,3,1,4,-2,4,0.4,3,0,0,2,1,0,0,14,21.4,154,12:52,0,4,6,5,54.5
414,Dmytro Timashov\timasdm01,23,TOR,LW,13,1,3,4,0,4,0.3,1,0,0,0,3,0,0,11,9.1,117,9:02,5,24,0,0,
415,Lucas Wallmark\wallmlu01,24,CAR,C,16,2,2,4,-1,4,0.3,2,0,0,0,2,0,0,24,8.3,189,11:47,10,8,68,73,48.2
416,Colin Wilson\wilsoco01,30,COL,C,9,0,4,4,6,0,0.4,0,0,0,0,4,0,0,12,0.0,114,12:38,2,6,3,4,42.9
417,Miles Wood\woodmi01,24,NJD,LW,14,2,2,4,-4,10,0.1,2,0,0,1,2,0,0,27,7.4,174,12:24,2,16,0,0,
418,Nikita Zaitsev\zaitsni01,28,OTT,D,15,0,4,4,2,4,0.7,0,0,0,0,4,0,0,16,0.0,359,23:54,40,23,0,0,
419,Travis Zajac\zajactr01,34,NJD,C,14,1,3,4,1,8,0.1,1,0,0,0,3,0,0,8,12.5,240,17:09,7,7,103,99,51.0
420,Justin Abdelkader\abdelju01,32,DET,LW,14,0,3,3,1,4,0.1,0,0,0,0,3,0,0,14,0.0,182,13:01,4,21,13,18,41.9
421,Jay Beagle\beaglja01,34,VAN,RW,16,1,2,3,-1,10,0.0,0,0,1,1,1,0,1,20,5.0,203,12:42,7,14,111,65,63.1
422,Emil Bemstrom\bemstem01,20,CBJ,C,16,1,2,3,-2,0,0.1,0,1,0,0,1,1,0,23,4.3,165,10:19,7,12,0,3,0.0
423,Gabriel Bourque\bourqga01,29,WPG,LW,16,1,2,3,1,0,0.2,1,0,0,0,2,0,0,17,5.9,162,10:07,12,32,0,1,0.0
424,Jay Bouwmeester\bouwmja01,36,STL,D,17,1,2,3,4,8,1.0,1,0,0,0,2,0,0,13,7.7,363,21:21,21,11,0,0,
425,Travis Boyd\boydtr01,26,WSH,C,5,0,3,3,3,0,0.3,0,0,0,0,3,0,0,1,0.0,46,9:16,1,0,4,6,40.0
426,Justin Braun\braunju01,32,PHI,D,15,0,3,3,-12,6,-0.3,0,0,0,0,3,0,0,19,0.0,257,17:09,20,15,0,0,
427,Jonas Brodin\brodijo01,26,MIN,D,16,0,3,3,-6,4,0.3,0,0,0,0,3,0,0,20,0.0,327,20:27,25,8,0,0,
428,Drake Caggiula\caggidr01,25,CHI,LW,13,3,0,3,-3,4,0.3,3,0,0,0,0,0,0,13,23.1,148,11:24,6,27,1,3,25.0
429,Alex Chiasson\chiasal01,29,EDM,RW,14,0,3,3,-2,2,0.0,0,0,0,0,3,0,0,19,0.0,182,13:00,5,11,0,3,0.0
430,Austin Czarnik\czarnau01,27,CGY,C,8,2,1,3,1,0,0.4,1,1,0,0,1,0,0,9,22.2,82,10:11,2,1,2,4,33.3
431,Kirby Dach\dachki01,19,CHI,C,10,1,2,3,0,2,0.2,1,0,0,0,1,1,0,10,10.0,111,11:07,1,4,8,19,29.6
432,Michael Dal Colle\dalcomi01,23,NYI,LW,14,1,2,3,1,6,0.2,1,0,0,0,2,0,0,8,12.5,176,12:35,7,10,2,0,100.0
433,Michael Del Zotto\delzomi01,29,ANA,D,13,1,2,3,5,4,1.0,1,0,0,0,2,0,0,10,10.0,249,19:10,14,21,0,0,
434,Jason Demers\demerja01,31,ARI,D,15,0,3,3,1,4,0.8,0,0,0,0,2,0,1,15,0.0,338,22:31,18,19,0,0,
435,Ryan Donato\donatry01,23,MIN,C,14,1,2,3,0,2,0.2,1,0,0,0,2,0,0,16,6.3,147,10:28,1,6,7,10,41.2
436,Nic Dowd\dowdni01,29,WSH,C,11,2,1,3,2,2,0.4,1,0,1,1,1,0,0,7,28.6,110,10:01,5,9,46,49,48.4
437,Jordan Eberle\eberljo01,29,NYI,RW,5,0,3,3,-1,0,0.1,0,0,0,0,1,2,0,11,0.0,92,18:20,1,2,0,3,0.0
438,Dante Fabbro\fabbrda01,21,NSH,D,16,2,1,3,5,6,0.8,2,0,0,0,1,0,0,21,9.5,309,19:19,18,9,0,0,
439,Joel Farabee\farabjo01,19,PHI,LW,9,2,1,3,0,4,0.3,2,0,0,0,1,0,0,24,8.3,142,15:46,4,5,0,2,0.0
440,Kevin Fiala\fialake01,23,MIN,LW,11,2,1,3,-3,2,0.2,2,0,0,0,1,0,0,17,11.8,149,13:31,4,5,0,1,0.0
441,Haydn Fleury\fleurha01,23,CAR,D,11,1,2,3,1,2,0.6,1,0,0,0,2,0,0,14,7.1,118,10:42,8,6,0,0,
442,Michael Frolik\frolimi01,31,CGY,LW,18,1,2,3,-10,16,-0.3,1,0,0,0,2,0,0,18,5.6,225,12:31,3,6,1,7,12.5
443,Alex Galchenyuk\galchal01,25,PIT,C,7,0,3,3,-4,0,0.0,0,0,0,0,2,1,0,17,0.0,103,14:44,1,6,0,1,0.0
444,Frederik Gauthier\gauthfr01,24,TOR,C,17,2,1,3,-2,6,0.1,2,0,0,0,1,0,0,14,14.3,179,10:32,5,15,69,56,55.2
445,Luke Glendening\glendlu01,30,DET,C,10,2,1,3,-5,0,0.1,2,0,0,1,1,0,0,15,13.3,135,13:30,13,23,53,43,55.2
446,Brendan Guhle\guhlebr01,22,ANA,D,7,0,3,3,3,2,0.6,0,0,0,0,3,0,0,9,0.0,131,18:44,8,0,0,0,
447,Travis Hamonic\hamontr01,29,CGY,D,19,0,3,3,-5,13,0.5,0,0,0,0,3,0,0,26,0.0,405,21:20,35,7,0,0,
448,Ryan Hartman\hartmry01,25,MIN,RW,16,1,2,3,-4,27,0.0,1,0,0,0,2,0,0,19,5.3,201,12:34,11,7,5,10,33.3
449,Jayce Hawryluk\hawryja01,24,FLA,C,8,1,2,3,-1,4,0.2,1,0,0,0,2,0,0,5,20.0,75,9:25,5,13,0,2,0.0
450,Dryden Hunt\huntdr01,24,FLA,LW,15,0,3,3,2,22,0.0,0,0,0,0,3,0,0,30,0.0,169,11:15,3,22,0,0,
451,Ben Hutton\huttobe01,26,LAK,D,16,1,2,3,-6,2,0.1,1,0,0,0,2,0,0,33,3.0,314,19:39,18,10,0,0,
452,Erik Johnson\johnser01,31,COL,D,16,1,2,3,-2,6,0.4,1,0,0,0,2,0,0,32,3.1,359,22:25,26,21,0,0,
453,Leo Komarov\komarle01,33,NYI,C,7,0,3,3,2,2,0.2,0,0,0,0,2,0,1,5,0.0,88,12:33,2,6,4,22,15.4
454,Jesperi Kotkaniemi\kotkaje01,19,MTL,C,12,2,1,3,-1,2,0.1,2,0,0,0,0,1,0,19,10.5,156,13:02,3,15,48,59,44.9
455,Dmitry Kulikov\kulikdm01,29,WPG,D,15,1,2,3,1,10,0.8,1,0,0,0,2,0,0,22,4.5,304,20:15,13,25,0,0,
456,Scott Laughton\laughsc01,25,PHI,C,9,0,3,3,0,0,0.1,0,0,0,0,3,0,0,11,0.0,129,14:19,8,12,41,36,53.2
457,Esa Lindell\lindees01,25,DAL,D,17,1,2,3,1,4,1.2,0,1,0,1,1,1,0,23,4.3,401,23:37,32,14,0,0,
458,Milan Lucic\lucicmi01,31,CGY,LW,17,0,3,3,-4,30,-0.1,0,0,0,0,2,1,0,22,0.0,210,12:20,4,33,5,6,45.5
459,Josh Mahura\mahurjo01,21,ANA,D,3,0,3,3,0,2,0.3,0,0,0,0,3,0,0,2,0.0,50,16:46,5,0,0,0,
460,Josh Manson\mansojo01,28,ANA,D,11,0,3,3,3,15,0.7,0,0,0,0,3,0,0,13,0.0,213,19:22,14,21,0,0,
461,John Marino\marinjo01,22,PIT,D,14,1,2,3,2,8,0.7,1,0,0,0,2,0,0,18,5.6,245,17:32,10,16,0,0,
462,Pat Maroon\maroopa01,31,TBL,LW,11,1,2,3,-1,5,0.1,1,0,0,0,2,0,0,15,6.7,117,10:39,2,12,4,0,100.0
463,Matt Martin\martima02,30,NYI,LW,7,2,1,3,2,0,0.5,2,0,0,1,1,0,0,7,28.6,70,9:56,0,24,1,2,33.3
464,Scott Mayfield\mayfisc01,27,NYI,D,15,1,2,3,3,8,0.9,1,0,0,0,1,0,1,23,4.3,292,19:28,24,21,0,0,
465,Jordan Oesterle\oestejo01,27,ARI,D,8,0,3,3,3,4,0.7,0,0,0,0,2,1,0,11,0.0,119,14:54,16,5,0,0,
466,Brett Ritchie\ritchbr01,26,BOS,RW,13,2,1,3,-1,17,0.2,2,0,0,1,0,1,0,20,10.0,139,10:42,1,30,0,2,0.0
467,Zach Sanford\sanfoza01,25,STL,LW,12,1,2,3,1,6,0.2,1,0,0,0,2,0,0,11,9.1,138,11:29,4,20,0,0,
468,Damon Severson\severda01,25,NJD,D,14,2,1,3,-10,2,-0.1,2,0,0,0,1,0,0,14,14.3,292,20:50,11,14,0,0,
469,Vladimir Sobotka\sobotvl01,32,BUF,C,15,1,2,3,3,4,0.2,1,0,0,0,2,0,0,23,4.3,224,14:56,5,18,33,26,55.9
470,Troy Stecher\stechtr01,25,VAN,D,16,1,2,3,5,16,1.0,1,0,0,0,2,0,0,21,4.8,222,13:53,15,17,0,0,
471,Chandler Stephenson\stephch02,25,WSH,C,13,2,1,3,4,4,0.4,2,0,0,1,0,0,1,11,18.2,144,11:05,4,9,48,39,55.2
472,Matt Tennyson\tennyma01,29,NJD,D,9,0,3,3,-5,4,0.0,0,0,0,0,3,0,0,4,0.0,113,12:36,8,5,0,0,
473,Alexandre Texier\texieal01,20,CBJ,C,12,2,1,3,0,6,0.3,2,0,0,1,0,1,0,17,11.8,159,13:14,2,7,2,3,40.0
474,Marc-Edouard Vlasic\vlasima01,32,SJS,D,17,2,1,3,-6,0,0.7,1,0,1,0,1,0,0,21,9.5,355,20:52,18,8,0,0,
475,Austin Wagner\wagneau01,22,LAK,LW,12,2,1,3,-1,11,0.2,2,0,0,0,1,0,0,22,9.1,129,10:44,1,21,0,2,0.0
476,Jordan Weal\wealjo01,27,MTL,C,10,2,1,3,-4,4,0.1,1,1,0,0,1,0,0,20,10.0,142,14:09,5,2,18,25,41.9
477,Luke Witkowski\witkolu01,29,TBL,D,12,1,2,3,-4,13,0.1,1,0,0,0,2,0,0,10,10.0,106,8:48,3,33,0,0,
478,Nikita Zadorov\zadorni01,24,COL,D,15,1,2,3,2,37,0.6,1,0,0,0,2,0,0,20,5.0,269,17:55,20,28,0,0,
479,Josh Anderson\anderjo05,25,CBJ,RW,10,1,1,2,-6,6,-0.1,1,0,0,0,1,0,0,21,4.8,172,17:12,5,19,2,5,28.6
480,Artem Anisimov\anisiar01,31,OTT,C,7,2,0,2,-5,2,0.0,2,0,0,0,0,0,0,15,13.3,103,14:47,4,1,26,31,45.6
481,Cole Bardreau\bardrco01,26,NYI,F,8,1,1,2,-1,6,0.2,1,0,0,1,1,0,0,8,12.5,69,8:34,1,15,16,18,47.1
482,Jordie Benn\bennjo01,32,VAN,D,16,0,2,2,7,2,1.0,0,0,0,0,2,0,0,16,0.0,275,17:10,17,11,0,0,
483,Anders Bjork\bjorkan01,23,BOS,LW,7,2,0,2,0,0,0.3,2,0,0,0,0,0,0,17,11.8,84,12:02,2,2,0,0,
484,Joseph Blandisi\blandjo01,25,PIT,C,7,1,1,2,0,0,0.2,1,0,0,1,1,0,0,3,33.3,60,8:37,3,10,13,14,48.1
485,Madison Bowey\boweyma01,24,DET,D,12,0,2,2,-6,2,0.0,0,0,0,0,2,0,0,14,0.0,197,16:23,13,4,0,0,
486,Josh Brown\brownjo01,26,FLA,D,13,1,1,2,-2,11,0.2,1,0,0,0,1,0,0,5,20.0,166,12:44,11,16,0,0,
487,Logan Brown\brownlo01,21,OTT,C,4,0,2,2,1,0,0.2,0,0,0,0,1,1,0,4,0.0,46,11:34,1,0,15,12,55.6
488,Filip Chlapik\chlapfi01,22,OTT,C,5,0,2,2,3,6,0.3,0,0,0,0,2,0,0,2,0.0,34,6:52,2,10,1,1,50.0
489,Filip Chytil\chytifi01,20,NYR,C,5,2,0,2,2,0,0.3,2,0,0,1,0,0,0,9,22.2,85,17:04,4,0,17,27,38.6
490,Andrew Cogliano\coglian01,32,DAL,LW,17,0,2,2,1,10,0.0,0,0,0,0,2,0,0,16,0.0,188,11:04,5,18,5,4,55.6
491,Dylan DeMelo\demeldy01,26,OTT,D,15,0,2,2,2,9,0.4,0,0,0,0,2,0,0,19,0.0,272,18:08,16,29,0,0,
492,Brenden Dillon\dillobr01,29,SJS,D,17,0,2,2,-9,21,0.2,0,0,0,0,1,0,1,22,0.0,342,20:08,14,49,0,0,
493,Noah Dobson\dobsono01,20,NYI,D,6,0,2,2,1,0,0.4,0,0,0,0,2,0,0,7,0.0,89,14:51,3,6,0,0,
494,Cody Eakin\eakinco01,28,VEG,C,13,0,2,2,-6,4,-0.3,0,0,0,0,2,0,0,15,0.0,198,15:14,6,6,83,98,45.9
495,Deryk Engelland\engelde01,37,VEG,D,15,0,2,2,1,16,0.7,0,0,0,0,1,0,1,21,0.0,273,18:13,27,33,0,0,
496,Mario Ferraro\ferrama01,21,SJS,D,17,0,2,2,-6,10,0.2,0,0,0,0,1,0,1,16,0.0,257,15:08,13,24,0,0,
497,Mike Green\greenmi03,34,DET,D,14,1,1,2,-7,16,0.1,1,0,0,0,0,1,0,26,3.8,301,21:32,24,7,0,0,
498,Carl Grundstrom\grundca01,22,LAK,RW,4,0,2,2,0,0,0.1,0,0,0,0,2,0,0,7,0.0,58,14:23,0,7,0,0,
499,Matt Grzelcyk\grzelma01,26,BOS,D,15,0,2,2,2,8,0.6,0,0,0,0,1,1,0,18,0.0,264,17:38,16,7,0,0,
500,Gaetan Haas\haasga01,28,EDM,F,10,1,1,2,0,0,0.2,1,0,0,0,1,0,0,7,14.3,90,9:00,6,8,31,39,44.3
501,Nicolas Hague\hagueni01,21,VEG,D,10,0,2,2,0,16,0.4,0,0,0,0,1,1,0,12,0.0,142,14:14,5,8,0,0,
502,Ron Hainsey\hainsro01,38,OTT,D,15,1,1,2,2,2,0.6,1,0,0,1,0,0,1,10,10.0,266,17:43,21,10,0,0,
503,Libor Hajek\hajekli01,21,NYR,D,14,0,2,2,0,8,0.4,0,0,0,0,2,0,0,14,0.0,241,17:11,26,12,0,0,
504,Joel Hanley\hanlejo01,28,DAL,D,6,0,2,2,0,6,0.3,0,0,0,0,2,0,0,3,0.0,66,11:04,5,3,0,0,
505,Nick Jensen\jenseni02,29,WSH,D,17,0,2,2,-7,0,-0.3,0,0,0,0,1,1,0,13,0.0,303,17:50,20,12,0,0,
506,Adam Johnson\johnsad01,25,PIT,C,7,1,1,2,-1,2,0.2,1,0,0,0,1,0,0,5,20.0,47,6:42,1,4,0,0,
507,Jack Johnson\johnsja02,33,PIT,D,15,0,2,2,4,2,0.7,0,0,0,0,2,0,0,11,0.0,262,17:30,14,33,0,0,
508,Tomas Jurco\jurcoto01,27,EDM,RW,12,0,2,2,1,4,0.1,0,0,0,0,2,0,0,7,0.0,120,9:59,3,3,2,2,50.0
509,Vladislav Kamenev\kamenvl01,23,COL,LW,5,0,2,2,2,2,0.2,0,0,0,0,2,0,0,4,0.0,52,10:26,3,2,10,13,43.5
510,Melker Karlsson\karlsme01,29,SJS,C,15,1,1,2,-5,6,-0.1,1,0,0,0,1,0,0,13,7.7,186,12:26,9,12,3,2,60.0
511,Slater Koekkoek\koekksl01,25,CHI,D,7,0,2,2,-2,8,0.2,0,0,0,0,2,0,0,6,0.0,109,15:36,7,12,0,0,
512,Dean Kukan\kukande01,26,CBJ,D,8,0,2,2,0,2,0.4,0,0,0,0,2,0,0,9,0.0,112,14:02,3,3,0,0,
513,Jacob Larsson\larssja01,22,ANA,D,16,1,1,2,0,8,0.5,1,0,0,0,1,0,0,17,5.9,272,17:01,11,6,0,0,
514,Johan Larsson\larssjo02,27,BUF,LW,15,1,1,2,-3,10,-0.1,1,0,0,0,1,0,0,18,5.6,212,14:08,8,16,77,85,47.5
515,Trevor Lewis\lewistr01,33,LAK,C,16,1,1,2,-3,6,-0.2,1,0,0,0,1,0,0,30,3.3,199,12:25,6,18,12,23,34.3
516,Jakob Lilja\liljaja01,26,CBJ,F,10,0,2,2,-1,0,0.1,0,0,0,0,2,0,0,11,0.0,88,8:45,8,6,1,0,100.0
517,Kurtis MacDermid\macdeku01,25,LAK,D,9,1,1,2,-1,13,0.3,1,0,0,0,1,0,0,13,7.7,115,12:47,8,10,0,0,
518,Mackenzie MacEachern\maceama01,25,STL,LW,10,1,1,2,-2,2,0.1,1,0,0,0,1,0,0,11,9.1,86,8:38,5,12,0,0,
519,Gerald Mayhew\mayhege01,27,MIN,F,6,2,0,2,2,2,0.4,2,0,0,0,0,0,0,9,22.2,58,9:37,1,4,3,3,50.0
520,Brayden McNabb\mcnabbr01,29,VEG,D,17,1,1,2,-1,24,0.7,0,0,1,0,1,0,0,15,6.7,346,20:20,30,37,0,0,
521,Jonathon Merrill\merrijo01,27,VEG,D,17,0,2,2,1,10,0.8,0,0,0,0,2,0,0,15,0.0,348,20:28,19,6,0,0,
522,Philippe Myers\myersph01,23,PHI,D,4,1,1,2,4,0,0.7,1,0,0,0,1,0,0,7,14.3,71,17:39,3,3,0,0,
523,Markus Nutivaara\nutivma01,25,CBJ,D,10,2,0,2,-1,2,0.6,2,0,0,0,0,0,0,14,14.3,151,15:05,9,9,0,0,
524,Tyler Pitlick\pitlity01,28,PHI,C,11,0,2,2,-4,2,-0.1,0,0,0,0,2,0,0,6,0.0,114,10:23,2,11,1,3,25.0
525,Tucker Poolman\poolmtu01,26,WPG,D,14,1,1,2,-9,2,-0.2,1,0,0,0,1,0,0,15,6.7,212,15:08,9,11,0,0,
526,Mark Pysyk\pysykma01,28,FLA,D,10,1,1,2,-1,4,0.3,1,0,0,0,1,0,0,10,10.0,139,13:51,3,5,0,1,0.0
527,Victor Rask\raskvi01,26,MIN,C,7,1,1,2,2,0,0.3,1,0,0,1,1,0,0,3,33.3,68,9:44,1,6,20,29,40.8
528,Ryan Reaves\reavery01,33,VEG,RW,17,2,0,2,-3,14,0.1,2,0,0,0,0,0,0,17,11.8,149,8:48,7,61,6,10,37.5
529,Mike Reilly\reillmi01,26,MTL,D,8,0,2,2,1,2,0.3,0,0,0,0,2,0,0,9,0.0,112,13:58,7,6,0,0,
530,Matt Roy\royma04,24,LAK,D,16,1,1,2,-3,0,0.2,1,0,0,0,1,0,0,27,3.7,243,15:11,24,21,0,0,
531,Kris Russell\russekr01,32,EDM,D,17,0,2,2,3,4,0.9,0,0,0,0,2,0,0,12,0.0,325,19:08,37,16,0,0,
532,Scott Sabourin\sabousc01,27,OTT,F,11,1,1,2,-3,13,0.1,1,0,0,0,1,0,0,9,11.1,69,6:15,5,20,0,1,0.0
533,Rasmus Sandin\sandira01,19,TOR,D,6,0,2,2,0,2,0.2,0,0,0,0,2,0,0,5,0.0,73,12:13,2,4,0,0,
534,David Savard\savarda01,29,CBJ,D,16,0,2,2,-2,4,0.5,0,0,0,0,2,0,0,13,0.0,305,19:03,25,25,0,0,
535,Nate Schmidt\schmina01,28,VEG,D,5,1,1,2,0,2,0.5,1,0,0,0,1,0,0,10,10.0,98,19:37,10,4,0,0,
536,Zachary Senyshyn\senysza01,22,BOS,RW,1,0,2,2,1,0,0.2,0,0,0,0,2,0,0,1,0.0,11,10:49,0,0,0,0,
537,Devin Shore\shorede01,25,ANA,C,10,0,2,2,4,2,0.2,0,0,0,0,2,0,0,11,0.0,118,11:50,4,10,8,3,72.7
538,Jonas Siegenthaler\siegejo01,22,WSH,D,17,0,2,2,4,16,0.5,0,0,0,0,2,0,0,11,0.0,305,17:58,32,15,0,0,
539,Marc Staal\staalma01,33,NYR,D,11,1,1,2,2,8,0.6,1,0,0,0,1,0,0,11,9.1,203,18:25,22,10,0,0,
540,Michael Stone\stonemi01,29,CGY,D,5,1,1,2,0,2,0.4,1,0,0,0,1,0,0,8,12.5,65,13:02,6,5,0,0,
541,Trevor van Riemsdyk\vanritr01,28,CAR,D,8,0,2,2,1,2,0.4,0,0,0,0,2,0,0,6,0.0,113,14:08,7,2,0,0,
542,Jimmy Vesey\veseyji02,26,BUF,LW,12,0,2,2,3,0,0.1,0,0,0,0,2,0,0,14,0.0,145,12:05,4,7,0,0,
543,Colin White\whiteco02,23,OTT,C,8,1,1,2,-4,8,-0.1,1,0,0,0,1,0,0,13,7.7,143,17:51,2,5,38,51,42.7
544,Valentin Zykov\zykovva01,24,VEG,LW,7,0,2,2,-1,2,0.1,0,0,0,0,2,0,0,7,0.0,82,11:44,2,8,0,1,0.0
545,Vitaly Abramov\abramvi01,21,OTT,RW,2,1,0,1,0,2,0.2,1,0,0,0,0,0,0,3,33.3,12,5:47,0,0,0,0,
546,Lias Andersson\anderli01,21,NYR,C,13,0,1,1,-4,4,-0.3,0,0,0,0,1,0,0,8,0.0,131,10:04,8,12,33,32,50.8
547,David Backes\backeda01,35,BOS,C,8,0,1,1,-1,16,0.0,0,0,0,0,1,0,0,13,0.0,66,8:17,2,8,1,2,33.3
548,Lean Bergmann\bergmle01,21,SJS,F,8,0,1,1,-5,2,-0.2,0,0,0,0,1,0,0,9,0.0,68,8:27,4,10,0,2,0.0
549,Anthony Bitetto\bitetan01,29,WPG,D,14,0,1,1,0,2,0.3,0,0,0,0,1,0,0,22,0.0,212,15:10,13,36,0,0,
550,Nick Bjugstad\bjugsni01,27,PIT,C,7,1,0,1,4,6,0.2,1,0,0,0,0,0,0,10,10.0,95,13:30,4,8,25,38,39.7
551,Mikkel Boedker\boedkmi01,30,OTT,RW,5,0,1,1,1,0,0.1,0,0,0,0,1,0,0,4,0.0,38,7:39,1,1,0,0,
552,Adam Boqvist\boqviad01,19,CHI,D,4,1,0,1,-2,2,0.1,1,0,0,0,0,0,0,8,12.5,59,14:51,1,4,0,0,
553,Erik Brannstrom\branner01,20,OTT,D,14,0,1,1,-2,6,0.0,0,0,0,0,1,0,0,13,0.0,189,13:29,11,2,0,0,
554,Jonny Brodzinski\brodzjo01,26,SJS,C,3,0,1,1,0,0,0.1,0,0,0,0,1,0,0,5,0.0,22,7:24,0,3,0,1,0.0
555,Nicholas Caamano\caamani01,21,DAL,RW,8,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,10,10.0,79,9:49,3,11,0,0,
556,Kyle Capobianco\capobky01,22,ARI,D,7,1,0,1,-1,2,0.2,1,0,0,0,0,0,0,6,16.7,102,14:35,9,7,0,0,
557,Connor Carrick\carrico01,25,NJD,D,4,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,4,0.0,55,13:49,4,4,0,0,
558,Colby Cave\caveco01,25,EDM,C,5,1,0,1,-1,2,0.1,1,0,0,0,0,0,0,2,50.0,54,10:52,0,7,17,21,44.7
559,Erik Cernak\cernaer01,22,TBL,D,12,1,0,1,-1,9,0.2,1,0,0,0,0,0,0,19,5.3,238,19:50,20,24,0,0,
560,Connor Clifton\cliftco01,24,BOS,D,13,1,0,1,1,2,0.4,1,0,0,0,0,0,0,11,9.1,197,15:09,9,22,0,0,
561,Braydon Coburn\coburbr01,34,TBL,D,12,1,0,1,3,4,0.5,1,0,0,0,0,0,0,19,5.3,182,15:08,9,17,0,0,
562,Calvin de Haan\dehaaca01,28,CHI,D,13,0,1,1,1,6,0.4,0,0,0,0,1,0,0,12,0.0,257,19:45,24,43,0,0,
563,Nicolas Deslauriers\deslani01,28,ANA,LW,7,0,1,1,-2,5,-0.1,0,0,0,0,1,0,0,4,0.0,66,9:29,3,12,0,0,
564,Jason Dickinson\dickija01,24,DAL,C,13,1,0,1,-2,0,-0.1,1,0,0,0,0,0,0,16,6.3,188,14:29,10,17,22,20,52.4
565,Robby Fabbri\fabbrro01,24,STL,C,9,1,0,1,-4,2,-0.1,1,0,0,0,0,0,0,7,14.3,87,9:42,1,10,1,0,100.0
566,Christian Fischer\fischch01,22,ARI,RW,15,0,1,1,3,4,-0.1,0,0,0,0,1,0,0,27,0.0,174,11:36,3,26,0,0,
567,Christian Folin\folinch01,28,MTL,D,5,0,1,1,2,2,0.2,0,0,0,0,1,0,0,2,0.0,80,15:58,8,12,0,0,
568,Sam Gagner\gagnesa01,30,EDM,C,7,0,1,1,-2,2,-0.1,0,0,0,0,1,0,0,12,0.0,97,13:50,2,6,4,12,25.0
569,Vladislav Gavrikov\gavrivl01,24,CBJ,D,15,0,1,1,-1,8,0.4,0,0,0,0,1,0,0,18,0.0,249,16:36,17,14,0,0,
570,Markus Granlund\granlma01,26,EDM,C,14,0,1,1,-2,6,-0.2,0,0,0,0,1,0,0,10,0.0,152,10:51,9,3,21,28,42.9
571,Erik Gudbranson\gudbrer01,28,TOT,D,13,1,0,1,3,6,0.6,1,0,0,0,0,0,0,12,8.3,236,18:07,10,26,0,0,
572,Robert Hagg\haggro01,24,PHI,D,10,0,1,1,-3,6,0.1,0,0,0,0,1,0,0,9,0.0,160,16:00,18,26,0,0,
573,Micheal Haley\haleymi01,33,NYR,C,8,1,0,1,-1,14,0.1,1,0,0,0,0,0,0,6,16.7,53,6:35,4,11,4,4,50.0
574,Dan Hamhuis\hamhuda01,37,NSH,D,14,0,1,1,4,11,0.3,0,0,0,0,1,0,0,9,0.0,206,14:42,7,15,0,0,
