,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS?,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
107,William Nylander\nylanwi01,23,TOR,C,17,4,7,11,3,4,1.0,3,1,0,0,5,2,0,38,10.5,300,17:37,2,2,51,42,54.8
108,Jean-Gabriel Pageau\pageaje01,27,OTT,C,15,7,4,11,15,9,1.9,5,0,2,2,4,0,0,37,18.9,265,17:41,17,18,121,124,49.4
109,Sam Reinhart\reinhsa01,24,BUF,C,15,5,6,11,-3,0,1.1,4,1,0,0,2,4,0,31,16.1,300,19:58,5,8,5,6,45.5
110,Tyler Seguin\seguity01,28,DAL,C,17,3,8,11,1,6,1.1,3,0,0,1,6,2,0,50,6.0,339,19:55,6,18,121,103,54.0
111,Colton Sissons\sissoco01,26,NSH,C,16,5,6,11,4,6,1.3,4,0,1,1,6,0,0,21,23.8,245,15:20,10,18,89,84,51.4
112,Jaccob Slavin\slavija01,25,CAR,D,16,2,9,11,7,2,2.1,2,0,0,1,9,0,0,36,5.6,356,22:15,24,9,0,0,
113,Shea Weber\webersh01,34,MTL,D,16,3,8,11,1,8,1.5,3,0,0,1,6,2,0,39,7.7,365,22:50,25,23,0,0,
114,Mika Zibanejad\zibanmi01,26,NYR,C,9,4,7,11,0,0,1.2,2,1,1,1,3,3,1,27,14.8,188,20:52,6,10,92,86,51.7
115,Joel Armia\armiajo01,26,MTL,RW,14,6,4,10,6,2,1.4,2,3,1,1,4,0,0,34,17.6,233,16:38,2,30,0,1,0.0
116,Dustin Brown\browndu01,35,LAK,RW,16,4,6,10,1,6,0.9,4,0,0,0,5,1,0,44,9.1,309,19:19,4,31,1,3,25.0
117,Matt Calvert\calvema01,30,COL,LW,16,4,6,10,5,12,1.2,3,0,1,0,6,0,0,28,14.3,221,13:48,3,17,4,2,66.7
118,Phillip Danault\danauph01,26,MTL,LW,16,5,5,10,4,4,1.1,5,0,0,0,5,0,0,23,21.7,283,17:42,6,21,135,143,48.6
119,Alex DeBrincat\debrial01,22,CHI,RW,15,5,5,10,0,0,1.1,2,3,0,0,5,0,0,42,11.9,265,17:38,8,9,3,4,42.9
120,Drew Doughty\doughdr01,30,LAK,D,16,4,6,10,-8,8,1.1,2,2,0,2,4,2,0,41,9.8,398,24:52,29,31,0,0,
121,Conor Garland\garlaco01,23,ARI,RW,16,7,3,10,8,6,1.7,7,0,0,1,1,2,0,41,17.1,206,12:53,5,4,0,0,
122,Alex Goligoski\goligal01,34,ARI,D,16,1,9,10,7,6,2.1,0,1,0,0,6,3,0,31,3.2,365,22:47,20,17,0,0,
123,Adam Henrique\henriad01,29,ANA,C,17,8,2,10,9,10,1.7,8,0,0,0,2,0,0,38,21.1,286,16:49,11,12,118,88,57.3
124,Mike Hoffman\hoffmmi02,30,FLA,C,15,6,4,10,-1,6,1.0,3,3,0,1,2,2,0,40,15.0,256,17:06,3,6,2,1,66.7
125,Patric Hornqvist\hornqpa01,33,PIT,RW,14,5,5,10,5,10,1.3,4,1,0,1,4,1,0,40,12.5,222,15:50,11,27,0,1,0.0
126,Andreas Johnsson\johnsan01,25,TOR,LW,17,4,6,10,4,12,1.0,2,2,0,1,5,1,0,41,9.8,290,17:05,7,13,0,1,0.0
127,Nazem Kadri\kadrina01,29,COL,C,16,5,5,10,-1,28,0.9,3,2,0,1,3,2,0,36,13.9,281,17:33,1,17,133,95,58.3
128,Kasperi Kapanen\kapanka01,23,TOR,RW,17,4,6,10,-1,4,0.8,2,0,2,0,5,1,0,22,18.2,285,16:47,4,21,0,6,0.0
129,Zack Kassian\kassiza01,29,EDM,RW,17,4,6,10,10,12,1.4,4,0,0,0,6,0,0,24,16.7,276,16:13,2,47,0,0,
130,Clayton Keller\kellecl01,21,ARI,C,16,2,8,10,0,4,0.8,2,0,0,0,5,3,0,39,5.1,279,17:26,2,5,5,3,62.5
131,Michal Kempny\kempnmi01,29,WSH,D,9,3,7,10,10,12,2.1,3,0,0,0,7,0,0,11,27.3,171,18:58,16,3,0,0,
132,Phil Kessel\kesseph01,32,ARI,RW,16,3,7,10,-4,8,0.7,1,2,0,0,5,2,0,44,6.8,286,17:51,3,3,1,3,25.0
133,Anders Lee\leean01,29,NYI,C,15,5,5,10,8,4,1.4,5,0,0,1,5,0,0,25,20.0,272,18:07,11,21,8,14,36.4
134,Jonathan Marchessault\audymjo01,29,VEG,C,17,3,7,10,-3,4,0.9,1,2,0,1,5,2,0,57,5.3,304,17:53,2,28,32,37,46.4
135,Josh Morrissey\morrijo04,24,WPG,D,14,1,9,10,-12,2,0.6,0,1,0,0,4,5,0,36,2.8,350,25:01,9,9,0,0,
136,Vladislav Namestnikov\namesvl01,27,TOT,C,15,5,5,10,-3,10,0.9,3,1,1,1,3,1,1,35,14.3,272,18:08,10,16,4,9,30.8
137,Martin Necas\necasma01,21,CAR,C,16,3,7,10,0,4,0.9,2,1,0,2,7,0,0,23,13.0,222,13:53,5,9,3,14,17.6
138,Brock Nelson\nelsobr01,28,NYI,C,15,4,6,10,-1,12,0.9,3,1,0,2,5,1,0,41,9.8,275,18:21,12,11,114,128,47.1
139,Gustav Nyquist\nyquigu01,30,CBJ,RW,16,3,7,10,-6,4,0.8,3,0,0,1,6,1,0,42,7.1,275,17:11,4,10,6,6,50.0
140,Victor Olofsson\olofsvi01,24,BUF,RW,15,6,4,10,-4,4,1.1,0,6,0,1,2,2,0,29,20.7,257,17:08,4,1,0,0,
141,Kyle Palmieri\palmiky01,28,NJD,RW,14,6,4,10,1,23,1.2,4,2,0,0,2,2,0,34,17.6,238,17:02,6,17,1,1,50.0
142,Jeff Petry\petryje01,32,MTL,D,16,2,8,10,5,4,1.6,0,2,0,0,6,2,0,42,4.8,388,24:13,14,36,0,0,
143,Brayden Point\pointbr01,23,TBL,C,10,4,6,10,0,5,1.0,4,0,0,0,5,1,0,23,17.4,184,18:24,3,4,59,65,47.6
144,Ivan Provorov\provoiv01,23,PHI,D,15,3,7,10,4,10,2.0,1,2,0,2,3,4,0,33,9.1,358,23:52,17,13,0,0,
145,Alexander Radulov\radulal01,33,DAL,RW,17,5,5,10,7,20,1.5,4,1,0,1,4,1,0,47,10.6,293,17:14,10,7,2,4,33.3
146,Rickard Rakell\rakelri01,26,ANA,RW,17,4,6,10,10,2,1.3,4,0,0,0,3,0,3,51,7.8,307,18:05,4,15,0,0,
147,Kevin Shattenkirk\shattke01,31,TBL,D,13,4,6,10,4,8,1.7,3,1,0,0,5,1,0,36,11.1,267,20:33,12,12,0,0,
