,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Cam Fowler,ANH,D,19,4,5,9,4,2,36,2,0,2,0,0,11,18
Brock Nelson,NYI,C,17,4,8,12,-3,12,46,2,1,1,0,0,13,14
Jaden Schwartz,STL,LW,19,4,11,15,0,6,39,1,1,4,0,0,7,11
Tyler Toffoli,LA,RW,17,4,5,9,-3,6,45,0,0,0,0,0,13,0
Kevin Hayes,PHI,C,18,4,3,7,-7,6,51,1,1,0,1,0,29,6
Jakob Chychrun,ARI,D,19,4,3,7,-1,10,44,1,1,1,0,0,17,23
Tyson Jost,COL,C,18,4,4,8,3,8,37,0,0,1,0,0,13,5
Clayton Keller,ARI,C,19,4,9,13,-3,4,51,0,0,4,0,0,7,2
Mathieu Joseph,TB,RW,15,4,2,6,1,6,20,0,0,0,0,0,12,4
Filip Hronek,DET,D,20,4,6,10,-5,9,44,0,1,2,0,0,27,25
Jesper Bratt,NJ,LW,14,4,2,6,-1,2,13,1,0,0,0,0,3,2
Filip Chytil,NYR,C,7,4,1,5,4,0,13,2,0,0,0,0,0,4
Miro Heiskanen,DAL,D,19,4,6,10,8,2,44,0,0,1,0,0,5,29
Martin Necas,CAR,C,18,4,8,12,-2,4,26,2,2,0,0,0,17,7
Dominik Kubalik,CHI,LW,17,4,3,7,-1,6,44,0,1,2,0,0,33,8
Ilya Mikheyev,TOR,RW,20,4,7,11,4,4,45,0,0,0,0,0,19,6
Sean Walker,LA,D,18,4,4,8,6,6,32,0,0,0,0,0,21,26
Jack Hughes,NJ,C,17,4,5,9,-7,4,33,1,3,1,0,0,5,6
Kirby Dach,CHI,C,12,3,3,6,2,2,15,1,0,1,0,0,8,1
Sam Lafferty,PIT,RW,11,3,3,6,4,4,19,1,0,0,0,0,21,7
Dominik Kahun,PIT,C,17,3,4,7,4,4,28,1,0,0,0,0,4,5
Casey Mittelstadt,BUF,C,17,3,4,7,4,2,18,1,1,1,0,0,6,2
Cody Glass,VGK,C,20,3,4,7,-2,4,31,0,0,3,0,0,9,2
David Kampf,CHI,RW,18,3,2,5,-3,0,36,1,0,0,1,0,20,9
Zach Aston-Reese,PIT,C,18,3,2,5,2,10,36,0,0,0,1,0,41,12
Alex Iafallo,LA,C,18,3,4,7,-2,2,34,1,1,1,0,0,11,12
Nick Suzuki,MON,C,18,3,4,7,3,4,22,0,0,1,0,0,15,7
Robert Thomas,STL,C,14,3,1,4,-1,4,16,2,0,0,0,0,4,1
Adam Fox,NYR,D,16,3,5,8,2,4,25,0,0,2,0,0,5,18
Marcus Sorensen,SJ,RW,16,3,3,6,-2,16,21,0,0,0,0,0,19,3
Trevor Moore,TOR,LW,20,3,2,5,-1,4,36,0,0,0,0,1,46,12
Luke Kunin,MIN,C,17,3,3,6,-9,19,43,0,0,0,0,0,20,12
Victor Mete,MON,D,18,3,3,6,8,6,21,1,0,0,0,0,5,30
Tyler Seguin,DAL,C,19,3,8,11,0,6,59,1,0,2,0,0,20,6
Mats Zuccarello,MIN,RW,14,3,4,7,-8,10,17,0,1,1,0,0,3,6
Vladimir Tarasenko,STL,RW,10,3,7,10,-2,0,26,0,1,2,0,0,17,7
Austin Watson,NSH,LW,18,3,3,6,4,14,17,1,0,0,0,2,39,20
Mikael Granlund,NSH,C,18,3,2,5,-1,6,38,0,0,0,0,0,13,13
Ryan Ellis,NSH,D,18,3,13,16,7,9,33,1,0,3,0,0,19,35
Casey Cizikas,NYI,C,12,3,3,6,7,9,19,1,0,0,1,1,30,13
Mattias Ekholm,NSH,D,18,3,7,10,10,8,39,1,0,0,1,1,13,28
Gabriel Landeskog,COL,LW,11,3,4,7,-4,14,26,2,0,2,0,0,20,6
Cam Atkinson,CLS,RW,18,3,7,10,-3,4,66,1,2,2,0,0,12,12
Ryan Nugent-Hopkins,EDM,LW,20,3,10,13,-2,8,51,2,2,5,0,0,14,15
Gustav Nyquist,CLS,RW,18,3,8,11,-9,4,46,1,0,2,0,0,11,6
Jake Muzzin,TOR,D,19,3,7,10,3,14,42,0,0,0,0,1,40,32
Andrew Shaw,CHI,C,18,3,3,6,-1,18,34,0,1,0,0,0,54,6
Blake Coleman,NJ,C,17,3,2,5,0,14,31,0,0,0,0,0,44,12
Patrick Maroon,TB,LW,13,3,3,6,1,5,24,0,1,0,0,0,14,2
Alexander Edler,VAN,D,19,3,9,12,-2,26,44,1,1,3,0,0,34,53
Mikael Backlund,CGY,C,21,3,5,8,0,14,46,2,1,1,0,0,9,4
Wayne Simmonds,NJ,RW,17,3,5,8,-5,8,48,0,2,1,0,0,37,9
Tyler Ennis,OTT,LW,18,3,4,7,-10,8,35,0,2,0,0,0,18,13
Victor Hedman,TB,D,13,3,8,11,-2,13,20,1,2,3,0,0,16,22
Phil Kessel,ARI,RW,19,3,7,10,-6,8,51,0,2,2,0,0,4,4
Jonathan Toews,CHI,C,18,3,5,8,-6,18,40,1,1,0,0,0,11,8
Zdeno Chara,BOS,D,18,3,4,7,13,14,32,1,0,0,0,0,22,31
Ilya Kovalchuk,LA,RW,17,3,6,9,-10,12,35,0,1,2,0,0,12,9
Brian Boyle,FLA,C,10,3,2,5,3,4,18,0,0,0,0,0,19,12
Philippe Myers,PHI,D,7,3,1,4,6,0,12,0,0,0,0,0,13,7
Conor Sheary,BUF,LW,13,3,1,4,2,2,18,1,1,1,0,0,7,7
Brandon Tanev,PIT,LW,18,3,4,7,0,4,26,1,0,0,1,0,72,15
Michal Kempny,WAS,D,12,3,8,11,10,12,13,0,0,0,0,0,4,23
Drake Caggiula,CHI,LW,15,3,1,4,-2,4,15,0,0,0,0,0,37,7
Denis Malgin,FLA,C,16,3,6,9,0,4,28,0,1,0,0,1,10,8
Derek Ryan,CGY,C,21,3,6,9,5,4,27,0,0,1,0,0,4,12
Jack Roslovic,WPG,RW,19,3,4,7,1,2,35,0,1,1,0,0,18,3
Anders Bjork,BOS,LW,10,3,0,3,0,0,21,0,1,0,0,0,6,4
Oskar Sundqvist,STL,C,19,3,3,6,0,12,23,0,0,0,0,0,24,8
Tomas Nosek,VGK,LW,17,3,1,4,-1,8,28,0,0,0,1,0,15,11
Michael Amadio,LA,C,16,3,2,5,-5,4,36,0,0,1,0,0,7,7
Andrew Copp,WPG,C,19,3,3,6,-4,6,36,0,0,0,0,0,20,8
MacKenzie Weegar,FLA,D,17,3,7,10,-2,13,34,0,0,0,0,0,27,11
Andrew Mangiapane,CGY,LW,19,3,4,7,3,8,25,1,0,0,0,0,17,4
Pierre-Edouard Bellemare,COL,C,17,3,4,7,3,2,18,0,0,0,0,1,9,10
Noah Hanifin,CGY,D,21,3,4,7,-7,2,37,0,1,1,0,0,33,33
Ivan Provorov,PHI,D,18,3,8,11,1,10,41,2,2,5,0,0,20,23
Jake DeBrusk,BOS,LW,15,3,3,6,1,2,34,0,0,1,0,0,7,4
Andreas Athanasiou,DET,C,18,3,6,9,-22,6,46,0,1,2,0,0,9,8
Chris Tierney,OTT,C,18,3,5,8,-7,6,26,0,1,0,1,0,18,12
Mathew Dumba,MIN,D,18,3,5,8,-13,15,39,0,0,3,0,0,32,22
Morgan Rielly,TOR,D,20,3,14,17,2,16,52,2,0,5,0,0,12,28
Alex Killorn,TB,C,15,3,5,8,4,0,26,0,2,1,0,0,11,4
William Carrier,VGK,LW,20,3,2,5,-2,10,27,1,0,0,0,0,59,2
Michael Raffl,PHI,LW,18,3,3,6,-4,2,23,1,0,0,0,0,20,9
Ben Chiarot,MON,D,18,3,2,5,4,10,35,1,0,0,0,0,40,25
Kevin Fiala,MIN,LW,13,3,3,6,-1,2,21,0,0,0,0,0,6,5
Robby Fabbri,DET,LW,12,3,2,5,-4,2,11,1,2,0,0,0,17,2
Sonny Milano,CLS,LW,16,3,3,6,-1,12,22,1,0,0,0,0,10,2
Sam Bennett,CGY,LW,19,3,2,5,3,20,33,0,0,1,0,0,36,6
Aaron Ekblad,FLA,D,17,2,8,10,5,8,48,0,0,0,0,1,9,17
Chandler Stephenson,WAS,RW,16,2,1,3,5,4,14,1,0,0,0,1,13,7
Haydn Fleury,CAR,D,12,2,2,4,2,2,17,0,0,0,0,0,10,11
Nick Ritchie,ANH,LW,17,2,6,8,0,26,34,1,1,1,0,0,27,7
Ivan Barbashev,STL,LW,19,2,5,7,1,5,17,0,0,0,1,0,45,11
Connor Brown,OTT,RW,18,2,12,14,6,8,32,0,0,1,0,0,5,12
Luke Glendening,DET,RW,10,2,1,3,-5,0,15,1,0,0,0,0,27,13
Joakim Nordstrom,BOS,C,7,2,0,2,0,0,12,0,0,0,0,0,16,4
Will Butcher,NJ,D,15,2,4,6,-5,2,12,0,0,0,0,0,9,19
Jaccob Slavin,CAR,D,18,2,9,11,6,2,46,1,0,0,0,0,17,30
Nate Schmidt,VGK,D,8,2,1,3,-3,2,18,0,0,0,0,0,6,15
Vinnie Hinostroza,ARI,C,19,2,4,6,0,4,27,0,0,0,0,0,11,10
Artturi Lehkonen,MON,LW,18,2,5,7,0,14,32,1,0,0,0,0,33,12
J.T. Compher,COL,C,15,2,6,8,7,2,25,0,0,1,0,1,12,12
Mattias Janmark,DAL,C,18,2,5,7,1,2,16,0,0,0,1,1,8,7
Brett Pesce,CAR,D,18,2,4,6,2,8,39,0,0,0,0,0,6,28
Pavel Buchnevich,NYR,LW,16,2,12,14,8,6,23,0,1,3,0,0,16,7
Torey Krug,BOS,D,17,2,11,13,-4,10,36,1,0,11,0,0,9,17
Damon Severson,NJ,D,17,2,2,4,-10,2,14,0,0,0,0,0,18,17
Josh Leivo,VAN,LW,19,2,7,9,4,4,40,0,0,1,0,0,11,4
Brady Skjei,NYR,D,15,2,4,6,-1,14,33,0,0,0,0,0,18,19
Frederik Gauthier,TOR,C,20,2,2,4,-1,6,15,0,0,0,0,0,28,8
Ryan Hartman,MIN,RW,18,2,2,4,-5,29,21,1,0,0,0,0,12,13
Darnell Nurse,EDM,D,20,2,6,8,0,14,37,0,0,1,0,0,46,38
Ryan Pulock,NYI,D,17,2,5,7,4,4,33,1,0,2,0,0,23,35
Alexander Wennberg,CLS,C,18,2,4,6,-3,4,23,0,1,2,0,0,5,10
Brendan Leipsic,WAS,LW,20,2,4,6,2,0,22,0,0,1,0,0,14,7
Teddy Blueger,PIT,C,18,2,3,5,-3,17,24,0,0,0,0,0,26,8
Jesper Fast,NYR,RW,15,2,5,7,2,4,19,0,0,0,0,0,22,12
Brandon Carlo,BOS,D,18,2,4,6,3,4,27,0,0,0,0,0,26,11
Lawson Crouse,ARI,LW,18,2,2,4,2,11,19,0,0,0,0,0,51,9
Pavel Zacha,NJ,C,16,2,6,8,-3,4,25,0,0,0,0,0,8,5
Austin Czarnik,CGY,C,8,2,1,3,1,0,9,0,1,0,0,0,1,2
Garnet Hathaway,WAS,RW,20,2,4,6,3,13,21,0,0,0,0,1,55,13
Nic Dowd,WAS,C,14,2,2,4,3,4,9,1,0,0,1,0,16,6
Ryan Graves,COL,D,17,2,4,6,8,8,22,0,0,0,0,1,27,40
Warren Foegele,CAR,LW,18,2,5,7,3,10,28,0,0,0,0,0,30,2
Nick Paul,OTT,LW,13,2,6,8,5,8,25,1,0,1,0,0,36,10
Ethan Bear,EDM,D,20,2,4,6,-3,14,29,1,0,0,0,0,12,26
Lucas Wallmark,CAR,C,18,2,3,5,-3,4,26,0,0,1,0,0,16,11
Rasmus Andersson,CGY,D,21,2,4,6,1,6,39,0,0,1,0,0,12,23
Vince Dunn,STL,D,19,2,3,5,3,4,36,0,2,2,0,0,8,10
Colin White,OTT,C,11,2,2,4,-3,8,16,0,0,0,0,0,6,4
Austin Wagner,LA,LW,14,2,2,4,0,13,28,0,0,0,0,0,33,3
Alexander Nylander,CHI,RW,17,2,5,7,-3,2,30,1,0,1,0,0,7,4
Miles Wood,NJ,LW,17,2,3,5,-6,10,29,1,0,0,0,0,25,5
Devon Toews,NYI,D,17,2,8,10,2,6,27,1,0,2,0,0,12,22
Markus Nutivaara,CLS,D,10,2,0,2,-1,2,14,0,0,0,0,0,12,11
Dominik Simon,PIT,C,18,2,8,10,0,4,35,0,0,1,0,0,16,9
Corey Perry,DAL,RW,12,2,2,4,-1,6,14,0,0,1,0,0,10,7
Evgeni Malkin,PIT,C,7,2,5,7,2,0,22,0,1,0,0,0,1,2
Mikko Koivu,MIN,C,18,2,5,7,0,6,37,0,1,2,0,0,8,13
