,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Jordan Szwarz,OTT,RW,3,0,0,0,0,2,2,0,0,0,0,0,6,1
T.J. Tynan,COL,C,3,0,0,0,1,0,1,0,0,0,0,0,0,0
Scott Harrington,CLS,D,6,0,1,1,-4,4,6,0,0,0,0,0,7,10
Connor Murphy,CHI,D,6,0,0,0,0,2,11,0,0,0,0,0,17,7
Markus Granlund,EDM,C,16,0,1,1,-1,6,11,0,0,0,0,0,4,11
Tomas Jurco,EDM,RW,12,0,2,2,1,4,7,0,0,0,0,0,4,3
Sven Baertschi,VAN,LW,3,0,1,1,-1,2,4,0,0,1,0,0,3,0
Jamie Oleksiak,DAL,D,19,0,4,4,1,11,19,0,0,0,0,0,23,17
Nathan Beaulieu,WPG,D,4,0,0,0,-1,2,2,0,0,0,0,0,9,1
Jonas Brodin,MIN,D,18,0,3,3,-6,4,21,0,0,0,0,0,13,29
Matt Irwin,NSH,D,7,0,1,1,-3,2,5,0,0,0,0,0,9,7
Tom Kuhnhackl,NYI,RW,6,0,0,0,-1,0,8,0,0,0,0,0,4,5
Carl Hagelin,WAS,LW,17,0,5,5,1,2,27,0,0,0,0,1,9,4
Adam Larsson,EDM,D,1,0,0,0,0,0,1,0,0,0,0,0,3,4
Brian Gibbons,CAR,C,10,0,0,0,-2,0,8,0,0,0,0,0,3,6
David Savard,CLS,D,18,0,2,2,-2,4,20,0,0,0,0,0,32,35
Justin Braun,PHI,D,18,0,3,3,-12,6,22,0,0,0,0,0,21,25
Alec Martinez,LA,D,18,0,5,5,-1,10,25,0,0,1,0,0,14,43
Mark Letestu,WPG,C,7,0,0,0,0,0,5,0,0,0,0,0,3,5
Deryk Engelland,VGK,D,17,0,2,2,0,18,23,0,0,0,0,1,49,34
Steve Kampfer,BOS,D,2,0,0,0,2,2,3,0,0,0,0,0,3,2
Brandon Pirri,VGK,C,11,0,1,1,-3,6,19,0,0,0,0,0,9,2
Nicolas Deslauriers,ANH,LW,8,0,1,1,-2,10,4,0,0,0,0,0,20,4
Cody Eakin,VGK,C,16,0,3,3,-6,8,17,0,0,1,0,0,7,8
Tyson Barrie,TOR,D,20,0,5,5,-5,6,53,0,0,1,0,0,14,20
Richard Panik,WAS,RW,10,0,0,0,0,2,13,0,0,0,0,0,10,2
Riley Sheahan,EDM,C,15,0,0,0,-9,0,13,0,0,0,0,0,8,5
Tyler Pitlick,PHI,C,14,0,2,2,-5,2,10,0,0,0,0,0,25,7
Korbinian Holzer,ANH,D,16,0,1,1,-2,17,15,0,0,0,0,1,39,37
Justin Faulk,STL,D,19,0,6,6,-4,10,38,0,0,1,0,0,19,15
Martin Marincin,TOR,D,7,0,0,0,-1,4,6,0,0,0,0,0,6,8
Dylan McIlrath,DET,D,4,0,0,0,-1,4,1,0,0,0,0,0,10,4
Jon Merrill,VGK,D,19,0,2,2,-2,14,16,0,0,0,0,0,13,26
Noah Gregor,SJ,C,10,0,0,0,-6,2,6,0,0,0,0,0,12,1
Henrik Borgstrom,FLA,C,4,0,0,0,-2,2,3,0,0,0,0,0,1,0
John Gilmour,BUF,D,3,0,0,0,-2,0,4,0,0,0,0,0,2,3
Matt Luff,LA,RW,1,0,0,0,0,0,2,0,0,0,0,0,2,0
Kevin Rooney,NJ,C,13,0,1,1,3,6,14,0,0,0,0,0,14,7
Travis Boyd,WAS,C,6,0,4,4,4,0,1,0,0,0,0,0,0,1
Libor Hajek,NYR,D,16,0,2,2,0,8,16,0,0,0,0,0,17,29
Carl Grundstrom,LA,LW,6,0,3,3,1,2,8,0,0,0,0,0,14,1
Sam Steel,ANH,C,15,0,7,7,-5,6,16,0,0,3,0,0,5,7
Givani Smith,DET,LW,4,0,0,0,0,5,4,0,0,0,0,0,6,0
Logan Brown,OTT,C,4,0,2,2,1,0,4,0,0,1,0,0,0,1
Julien Gauthier,CAR,RW,2,0,0,0,1,2,0,0,0,0,0,0,2,0
Charlie McAvoy,BOS,D,18,0,4,4,7,8,20,0,0,1,0,0,35,31
German Rubtsov,PHI,C,3,0,0,0,-1,0,1,0,0,0,0,0,2,4
Jan Rutta,TB,D,3,0,1,1,-5,2,3,0,0,0,0,0,4,3
Erik Brannstrom,OTT,D,17,0,1,1,-3,10,13,0,0,0,0,0,7,15
Eetu Luostarinen,CAR,LW,3,0,1,1,1,0,5,0,0,0,0,0,4,1
Urho Vaakanainen,BOS,D,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Cale Fleury,MON,D,13,0,0,0,-3,2,16,0,0,0,0,0,41,17
Jesper Boqvist,NJ,C,6,0,0,0,-3,4,4,0,0,0,0,0,6,3
Conor Timmins,COL,D,2,0,0,0,2,0,1,0,0,0,0,0,0,0
Lias Andersson,NYR,LW,15,0,1,1,-5,4,10,0,0,0,0,0,18,8
Ryan Poehling,MON,C,4,0,0,0,0,0,2,0,0,0,0,0,5,3
Jake Bischoff,VGK,D,4,0,0,0,-2,4,6,0,0,0,0,0,8,8
Jonny Brodzinski,SJ,RW,3,0,1,1,0,0,5,0,0,0,0,0,3,0
Christoffer Ehn,DET,C,13,0,0,0,-5,2,7,0,0,0,0,0,20,6
Connor Bunnaman,PHI,C,4,0,0,0,0,0,4,0,0,0,0,0,5,1
Mikhail Vorobyov,PHI,C,6,0,1,1,-1,0,4,0,0,0,0,0,0,1
Nicolas Hague,VGK,D,12,0,3,3,0,16,13,0,0,1,0,0,14,6
Jonathan Davidsson,OTT,RW,2,0,1,1,1,0,3,0,0,0,0,0,3,1
Noah Dobson,NYI,D,6,0,2,2,1,0,7,0,0,0,0,0,7,3
Isac Lundestrom,ANH,LW,3,0,0,0,2,0,3,0,0,0,0,0,1,1
David Gustafsson,WPG,C,12,0,0,0,-2,0,3,0,0,0,0,0,2,4
Juuso Riikola,PIT,D,7,0,1,1,-1,0,10,0,0,0,0,0,16,6
Joel Persson,EDM,D,10,0,2,2,0,0,12,0,0,0,0,0,5,9
Ilya Lyubushkin,ARI,D,10,0,1,1,2,12,11,0,0,0,0,0,24,9
Rasmus Sandin,TOR,D,6,0,2,2,0,2,5,0,0,0,0,0,5,3
Martin Fehervary,WAS,D,3,0,0,0,0,2,4,0,0,0,0,0,6,0
Oliver Wahlstrom,NYI,RW,9,0,0,0,-2,4,9,0,0,0,0,0,10,4
C.J. Suess,WPG,LW,1,0,0,0,-1,0,0,0,0,0,0,0,1,0
Carson Soucy,MIN,D,15,0,1,1,5,2,10,0,0,0,0,0,27,11
Lukas Radil,SJ,LW,10,0,0,0,-3,6,9,0,0,0,0,0,12,1
Karson Kuhlman,BOS,C,8,0,0,0,-2,2,13,0,0,0,0,0,9,3
Riley Stillman,FLA,D,3,0,0,0,-2,5,7,0,0,0,0,0,2,4
Drake Batherson,OTT,RW,2,0,0,0,-4,2,0,0,0,0,0,0,1,2
Mason Appleton,WPG,C,9,0,0,0,-1,2,9,0,0,0,0,0,6,4
Mario Ferraro,SJ,D,17,0,2,2,-6,10,16,0,0,0,0,1,29,13
Taro Hirose,DET,LW,17,0,5,5,-8,4,11,0,0,5,0,0,9,7
Rhett Gardner,DAL,C,7,0,0,0,0,0,8,0,0,0,0,0,7,1
Tobias Bjornfot,LA,D,3,0,0,0,-4,0,0,0,0,0,0,0,0,0
Danil Yurtaikin,SJ,LW,4,0,0,0,-1,0,2,0,0,0,0,0,3,2
Lean Bergmann,SJ,LW,8,0,1,1,-5,2,9,0,0,0,0,0,10,4
Joona Luoto,WPG,RW,3,0,0,0,-1,0,1,0,0,0,0,0,3,1
Jakob Lilja,CLS,LW,10,0,2,2,-1,0,11,0,0,0,0,0,8,8
